,timestamp,traceid,service,rpcid,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
3,76258,T_19411046649,S_124252995,0.2.4,rpc,MS_58751,MS_58751_POD_159,OBxyawFGYI,MS_53454,MS_53454_POD_138,2.0
0,10355,T_19411045547,S_58367703,0,rpc,USER,USER,sKSSRWi9OQ,MS_43781,MS_43781_POD_87,4.0
1,10359,T_19411045547,S_58367703,0.7,rpc,MS_43781,MS_43781_POD_87,epu_EEUfwr,MS_15131,MS_15131_POD_11,26.0
0,94926,T_19410990140,S_36250309,0.1.6,rpc,MS_52363,MS_52363_POD_130,0_aOL3x-Rk,MS_27239,MS_27239_POD_2900,45.0
1,94920,T_19410990140,S_36250309,0.1.1,rpc,MS_52363,MS_52363_POD_130,vs2nQhH1hq,MS_53745,MS_53745_POD_205,1.0
0,159362,T_19410987565,S_159743135,0.1.1.5,rpc,MS_34136,MS_34136_POD_17,RQhbh4tA8_,MS_3521,MS_3521_POD_36,15.0
1,159364,T_19410987565,S_159743135,0.1.1.5.1,rpc,MS_3521,MS_3521_POD_36,7Am79nvifj,MS_34136,MS_34136_POD_31,2.0
0,173762,T_19410979656,S_23083314,0.2,rpc,MS_63670,MS_63670_POD_596,vs2nQhH1hq,MS_23205,MS_23205_POD_5770,1.0
1,173760,T_19410979656,S_23083314,0.1,rpc,MS_63670,MS_63670_POD_596,tG4AEYijKU,MS_63670,MS_63670_POD_596,2.0
0,109503,T_4044263844,S_160784054,0.3,rpc,MS_63670,MS_63670_POD_330,vs2nQhH1hq,MS_29680,MS_29680_POD_547,1.0
1,109501,T_4044263844,S_160784054,0.1,rpc,MS_63670,MS_63670_POD_330,tG4AEYijKU,MS_63670,MS_63670_POD_330,1.0
0,111944,T_19410960651,S_102000854,0.1.2,rpc,MS_25124,MS_25124_POD_1221,1BtvvGt--n,MS_25124,UNKNOWN,21.0
1,111947,T_19410960651,S_102000854,0.1.2.2,rpc,MS_25124,MS_25124_POD_1221,X25JVZmZ0Y,MS_60236,MS_60236_POD_37,15.0
2,111948,T_19410960651,S_102000854,0.1.2.2.1,rpc,MS_60236,MS_60236_POD_37,Mgcw_dV5l8,MS_13873,MS_13873_POD_223,13.0
3,111951,T_19410960651,S_102000854,0.1.2.2.1.1,rpc,MS_13873,MS_13873_POD_223,b47CZirIlp,MS_902,MS_902_POD_469,8.0
0,5825,T_19410958368,S_154338954,0.1.1.3,rpc,MS_46093,MS_46093_POD_116,NbCmVHc6gr,MS_36085,MS_36085_POD_64,2.0
1,5823,T_19410958368,S_154338954,0.1.1.2,rpc,MS_46093,MS_46093_POD_116,j1ird2-x6v,MS_36085,MS_36085_POD_24,2.0
0,116702,T_4044274707,S_53602871,0.1,rpc,MS_65043,MS_65043_POD_46,w8ZckDh8vh,MS_67211,MS_67211_POD_77,1.0
0,121304,T_20886103694,S_114078040,0.1,rpc,MS_50137,MS_50137_POD_81,zbROZgT9rk,MS_18238,MS_18238_POD_247,13.0
0,138099,T_20886065190,S_161353510,0,rpc,USER,USER,FxxPJLwAQc,MS_27459,MS_27459_POD_13,1.0
